Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""1577314808""","=""9781577314806""",3,4.13,New World Library,Paperback,229,2004,1997,,2019/06/25,,,read,,,,1,,,0,,,,,
25430665,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""081298496X""","=""9780812984965""",0,4.63,Spiegel & Grau,Paperback,368,2015,2014,,2019/06/19,to-read,to-read (#151),to-read,,,,0,,,0,,,,,
19662616,Music Then and Now,Thomas Forrest Kelly,"Kelly, Thomas Forrest",,"=""""","=""""",0,4.18,W. W. Norton & Company,Paperback,624,2012,2012,,2019/06/18,to-read,to-read (#150),to-read,,,,0,,,0,,,,,
913844,In Other Words: A Language Lover's Guide to the Most Intriguing Words Around the World,C.J. Moore,"Moore, C.J.",,"=""0192806246""","=""9780192806246""",0,3.69,OUP Oxford,Hardcover,128,2005,2004,,2019/06/18,to-read,to-read (#149),to-read,,,,0,,,0,,,,,
16240879,"Sensory Ecology, Behaviour, and Evolution",Martin  Stevens,"Stevens, Martin",,"=""0199601771""","=""9780199601776""",0,4.17,"Oxford University Press, USA",Hardcover,247,2013,2013,,2019/06/18,to-read,to-read (#148),to-read,,,,0,,,0,,,,,
442668,The Deep: The Extraordinary Creatures of the Abyss,Claire Nouvian,"Nouvian, Claire",,"=""0226595668""","=""9780226595665""",0,4.29,University of Chicago Press,Hardcover,256,2007,2006,,2019/06/18,to-read,to-read (#147),to-read,,,,0,,,0,,,,,
11711855,How Carrots Won the Trojan War: Curious (but True) Stories of Common Vegetables,Rebecca Rupp,"Rupp, Rebecca",,"=""1603429689""","=""9781603429689""",0,3.53,"Storey Publishing, LLC",Paperback,384,2011,2011,,2019/06/18,to-read,to-read (#146),to-read,,,,0,,,0,,,,,
1120183,Vanilla: The Cultural History of the World's Favorite Flavor and Fragrance,Patricia Rain,"Rain, Patricia",,"=""1585423637""","=""9781585423637""",0,3.68,Jeremy P. Tarcher,Hardcover,371,2004,2004,,2019/06/18,to-read,to-read (#145),to-read,,,,0,,,0,,,,,
30334172,"The Evolution Underground: Burrows, Bunkers, and the Marvelous Subterranean World Beneath our Feet",Anthony J. Martin,"Martin, Anthony J.",,"=""1681773120""","=""9781681773124""",0,4.05,Pegasus Books,Hardcover,400,2017,,,2019/06/18,to-read,to-read (#144),to-read,,,,0,,,0,,,,,
27293395,The Sting of the Wild,Justin O. Schmidt,"Schmidt, Justin O.",,"=""1421419289""","=""9781421419282""",0,4.07,Johns Hopkins University Press,Hardcover,257,2016,2016,,2019/06/18,to-read,to-read (#143),to-read,,,,0,,,0,,,,,
34773385,Squid Empire: The Rise and Fall of the Cephalopods,Danna Staaf,"Staaf, Danna",,"=""1611689236""","=""9781611689235""",0,4.04,ForeEdge,Hardcover,256,2017,2017,,2019/06/18,to-read,to-read (#142),to-read,,,,0,,,0,,,,,
25810717,"Beaks, Bones and Bird Songs: How the Struggle for Survival Has Shaped Birds and Their Behavior",Roger Lederer,"Lederer, Roger",,"=""1604696486""","=""9781604696486""",0,4.11,Timber Press,Hardcover,282,2016,2016,,2019/06/18,to-read,to-read (#141),to-read,,,,0,,,0,,,,,
7367893,Octopus: The Ocean's Intelligent Invertebrate,Jennifer A. Mather,"Mather, Jennifer A.","Roland C. Anderson, James B. Wood","=""1604690674""","=""9781604690675""",0,4.02,Timber Press,Hardcover,208,2010,2010,,2019/06/18,to-read,to-read (#140),to-read,,,,0,,,0,,,,,
42983446,A Beginner's Guide to Japan: Observations and Provocations,Pico Iyer,"Iyer, Pico",,"=""0451493958""","=""9780451493958""",0,3.81,Knopf Publishing Group,Hardcover,240,2019,,,2019/06/15,to-read,to-read (#139),to-read,,,,0,,,0,,,,,
46271528,Channel Islands National Park,Susan Lamb,"Lamb, Susan",National Park Service,"=""1583692061""","=""9781583692066""",0,4.00,Western National Parks Association,Paperback,72,2019,2000,,2019/06/15,to-read,to-read (#138),to-read,,,,0,,,0,,,,,
43565360,Artificial Intelligence: A Guide for Thinking Humans,Melanie  Mitchell,"Mitchell, Melanie",,"=""0374257833""","=""9780374257835""",0,4.25,"Farrar, Straus and Giroux",Hardcover,336,2019,2019,,2019/06/09,to-read,to-read (#137),to-read,,,,0,,,0,,,,,
44082476,The Parrot's Perch,Karen Keilt,"Keilt, Karen",,"=""""","=""9781631525711""",0,4.38,She Writes Press,Paperback,288,2019,,,2019/06/08,to-read,to-read (#136),to-read,,,,0,,,0,,,,,
43726545,About Us: Essays from the Disability Series of the New York Times,Peter Catapano,"Catapano, Peter",Rosemarie Garland-Thomson,"=""1631495852""","=""9781631495854""",0,4.72,Liveright,Hardcover,304,2019,2019,,2019/06/08,to-read,to-read (#135),to-read,,,,0,,,0,,,,,
37941669,This Land Is Our Land: An Immigrant's Manifesto,Suketu Mehta,"Mehta, Suketu",,"=""0374276021""","=""9780374276027""",0,4.04,"Farrar, Straus and Giroux",Hardcover,320,2019,2019,,2019/06/08,to-read,to-read (#134),to-read,,,,0,,,0,,,,,
35506451,"Tomorrow Will Be Different: Love, Loss, and the Fight for Trans Equality",Sarah McBride,"McBride, Sarah",Joe Biden,"=""1524761478""","=""9781524761479""",4,4.46,Crown Archetype,Hardcover,272,2018,2018,,2019/06/06,,,read,,,,1,,,0,,,,,
43999118,The Mosquito: A Human History of Our Deadliest Predator,Timothy C. Winegard,"Winegard, Timothy C.",,"=""1524743410""","=""9781524743413""",0,3.75,Dutton Books,Hardcover,496,2019,2019,,2019/06/02,to-read,to-read (#133),to-read,,,,0,,,0,,,,,
129772,The Other Side of War: Women's Stories of Survival & Hope,Zainab Salbi,"Salbi, Zainab","Laurie Becklund, Susan Meiselas, Alice Walker","=""0792262115""","=""9780792262114""",0,4.39,National Geographic Society,Hardcover,255,2006,2006,,2019/06/02,to-read,to-read (#132),to-read,,,,0,,,0,,,,,
