,ISBN13,Title,Author,My Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Added,Private Notes,recommended
670,9780929524108,Hippolytus,Euripides,1,"Bryn Mawr Commentaries, Inc.",108.0,2001.0,-428.0,2018-02-06,,False
671,9780898758566,West African Folk Tales,William Henry Barker,1,University Press of the Pacific,232.0,2002.0,1972.0,2018-02-17,,False
672,9781580493888,"Antigone (The Theban Plays, #3)",Sophocles,1,Ingram,80.0,2005.0,-441.0,2018-02-14,,False
673,9780812989915,The Pope Who Would Be King: The Exile of Pius IX and the Emergence of Modern Europe,David I. Kertzer,1,Random House,512.0,2018.0,2018.0,2018-07-03,,False
674,9780679744726,The Fire Next Time,James Baldwin,1,Vintage,106.0,1992.0,1963.0,2018-08-17,,False
675,9780671637897,Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,2,Washington Square Press,240.0,1987.0,1948.0,2018-04-20,,False
676,9781622316007,StoryCorps: Outloud,Ari Shapiro,2,HighBridge Company,2.0,2015.0,2015.0,2018-08-01,,False
677,9780380810338,Feeling Good: The New Mood Therapy,David D. Burns,2,Harper,736.0,2008.0,1980.0,2018-08-05,,False
678,9781405918541,Spectacles,Sue  Perkins,2,Michael Joseph,377.0,2015.0,2015.0,2018-06-20,,False
679,9780199793396,This Mortal Coil: The Human Body in History and Culture,Fay Bound Alberti,2,"Oxford University Press, USA",304.0,2016.0,2016.0,2018-05-23,,False
680,9780857381101,The King's Speech: How One Man Saved the British Monarchy,Mark Logue,2,Quercus ,242.0,2010.0,2010.0,2018-07-27,,False
681,9780375935275,Of Thee I Sing: A Letter to My Daughters,Barack Obama,2,Knopf Books for Young Readers,40.0,2010.0,2010.0,2018-02-06,,False
682,9780061122415,The Alchemist,Paulo Coelho,2,HarperCollins,197.0,1993.0,1988.0,2018-01-28,,False
683,9780676975352,Salt: A World History,Mark Kurlansky,2,Vintage Canada,496.0,2002.0,2002.0,2018-04-20,,False
684,9780691175560,The World in a Book: Al-Nuwayri and the Islamic Encyclopedic Tradition,Elias Muhanna,2,Princeton University Press,232.0,2017.0,,2018-04-07,,False
685,9780544716940,A Crack in Creation: Gene Editing and the Unthinkable Power to Control Evolution,Jennifer A. Doudna,3,Houghton Mifflin Harcourt,304.0,2017.0,2017.0,2018-02-24,,False
686,9781443442312,Grit,Angela Duckworth,3,Collins,277.0,2016.0,2016.0,2018-05-15,,False
687,9780300187519,Ginkgo: The Tree That Time Forgot,Peter Crane,4,Yale University Press,408.0,2013.0,2013.0,2018-04-20,,False
688,9780312257378,"Narrative of the Life of Frederick Douglass: An American Slave, Written by Himself",Frederick Douglass,3,Bedford Books,188.0,2002.0,1845.0,2018-02-17,,False
689,9780307237699,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,3,Crown,375.0,2006.0,2006.0,2018-05-13,,False
690,9781501161155,"Lessons From Lucy: The Simple Joys of an Old, Happy Dog",Dave Barry,2,Simon  Schuster,240.0,2019.0,2018.0,2018-07-21,,False
694,9780062368591,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,3,Ecco,368.0,2016.0,2016.0,2018-08-22,,False
696,9781250141927,Recovery: Freedom from Our Addictions,Russell Brand,1,Henry Holt & Company,288.0,2017.0,2017.0,2018-04-07,,False
